icpsr,id,name,state_abbrev,cast_code
8010,MH09408010,"RODINO, Peter Wallace, Jr.",NJ,1
10551,MH09410551,"ROSENTHAL, Benjamin Stanley",NY,1
3929,MH09403929,"HALEY, James Andrew",FL,1
10075,MH09410075,"WHITTEN, Jamie Lloyd",MS,1
8032,MH09408032,"ROGERS, Paul Grant",FL,1
14200,MH09414200,"AMBRO, Jerome Anthony, Jr.",NY,1
14201,MH09414201,"AuCOIN, Les",OR,9
14202,MH09414202,"BALDUS, Alvin James",WI,1
14203,MH09414203,"BAUCUS, Max Sieben",MT,1
14204,MH09414204,"BEARD, Edward Peter",RI,1
14205,MH09414205,"BEDELL, Berkley Warren",IA,1
14206,MH09414206,"BLANCHARD, James Johnston",MI,1
14207,MH09414207,"BLOUIN, Michael Thomas",IA,1
14208,MH09414208,"BONKER, Don Leroy",WA,1
14209,MH09414209,"BRODHEAD, William McNulty",MI,1
14210,MH09414210,"CARR, Milton Robert (Bob)",MI,1
14211,MH09414211,"CORNELL, Robert John",WI,1
14212,MH09414212,"DERRICK, Butler Carson, Jr.",SC,1
14213,MH09414213,"DODD, Christopher John",CT,1
14214,MH09414214,"DOWNEY, Thomas Joseph",NY,1
10561,MH09410561,"ST. GERMAIN, Fernand Joseph",RI,1
14216,MH09414216,"EARLY, Joseph Daniel",MA,1
14217,MH09414217,"EDGAR, Robert William",PA,1
14218,MH09414218,"EMERY, David Farnham",ME,1
14219,MH09414219,"ENGLISH, Glenn Lee, Jr.",OK,1
14220,MH09414220,"EVANS, David Walter",IN,1
14221,MH09414221,"FENWICK, Millicent Hammond",NJ,1
14222,MH09414222,"FITHIAN, Floyd James",IN,1
14223,MH09414223,"FLORIO, James Joseph",NJ,1
8080,MH09408080,"ROSTENKOWSKI, Daniel David",IL,1
14225,MH09414225,"GRADISON, Willis David, Jr.",OH,1
14226,MH09414226,"GRASSLEY, Charles Ernest",IA,1
14227,MH09414227,"HAGEDORN, Thomas Michael",MN,1
8084,MH09408084,"ROUSH, John Edward",IN,1
14229,MH09414229,"HANNAFORD, Mark Warren",CA,1
14230,MH09414230,"HARKIN, Thomas Richard (Tom)",IA,1
14231,MH09414231,"HARRIS, Herbert Eugene, II",VA,1
14232,MH09414232,"HAYES, Philip Harold",IN,1
14233,MH09414233,"HEFNER, Willie Gathrel (Bill)",NC,1
14234,MH09414234,"HIGHTOWER, Jack English",TX,1
14235,MH09414235,"HOLLAND, Kenneth Lamar",SC,9
14236,MH09414236,"HOWE, Allan Turner",UT,9
14237,MH09414237,"HUBBARD, Carroll, Jr.",KY,1
14238,MH09414238,"HUGHES, William John",NJ,1
14239,MH09414239,"HYDE, Henry John",IL,1
14240,MH09414240,"JEFFORDS, James Merrill",VT,1
14241,MH09414241,"JENRETTE, John Wilson, Jr.",SC,1
14242,MH09414242,"KASTEN, Robert Walter, Jr.",WI,1
14243,MH09414243,"KELLY, Richard",FL,1
14244,MH09414244,"KEYS, Martha Elizabeth",KS,1
14245,MH09414245,"KINDNESS, Thomas Norman",OH,1
14246,MH09414246,"KREBS, John Hans",CA,1
14247,MH09414247,"KRUEGER, Robert Charles",TX,1
14248,MH09414248,"LaFALCE, John Joseph",NY,1
14249,MH09414249,"LEVITAS, Elliott Harris",GA,1
14250,MH09414250,"LLOYD, James Fredrick",CA,1
10567,MH09410567,"WAGGONNER, Joseph David, Jr.",LA,1
14252,MH09414252,"McDONALD, Lawrence Patton",GA,1
14253,MH09414253,"McHUGH, Matthew Francis",NY,1
14254,MH09414254,"MAGUIRE, Gene Andrew",NJ,1
14255,MH09414255,"MEYNER, Helen Stevenson",NJ,1
